@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
45.9701010,10.9340989,Inizio Ferrata Rio Sallagoni,attraction,,,,,,
46.2868098,10.6748938,Ponte,attraction,,,,,,
46.2893546,10.6960140,Madonnina,attraction,,,,,,
46.2746602,10.7065281,Ponte,attraction,,,,,,
46.4061413,10.7892811,Ponte sospeso,attraction,,,,,,
45.5531606,11.6698589,Mulino Tacchi,attraction,yes,,,,,
45.6989112,11.7698885,Caravelle I-DABT,attraction,aircraft,,,,,
46.2187711,11.3957510,zirmo dai zochi alti Abete monumentiate,attraction,,,,,,
46.2737741,11.4506681,El pezo de Gazolin,attraction,,,,,,
46.3194908,11.4398130,Il rifugio,attraction,,,,,,
46.2832802,11.3937191,Larice di confine,attraction,,,,,,
46.0296011,11.8260661,,attraction,,,,,,
45.7660576,10.8086894,Affresco medioevale,attraction,,,,,,
45.7661330,10.8087930,Antico ingresso principale,attraction,,,,,,
45.7661009,10.8089623,Ingresso da Via Castello,attraction,,,,,,
45.7662124,10.8089344,Rivellino di epoca austriaca,attraction,,,,,,
45.7659668,10.8085816,Rivellino fortificacione avanzata,attraction,,,,,,
46.0351711,10.3415641,Bedolina Map,attraction,archaeological_site,,,,,
45.5485983,11.5462816,Palazzo Thiene,attraction,,,,,,
45.7083500,11.5626317,Antica Giassara,attraction,,,,,,
45.7069038,11.5792902,Chiesetta di Santo Stefano,attraction,,,,,,
46.0064135,11.1989310,Casa natale Santa Paolina,attraction,memorial,,,,,
45.5068726,10.8406024,Locomotiva 835.015,attraction,locomotive,,,,,
46.0744947,11.1204538,Locomotiva 625.011,attraction,locomotive,,,,,
46.1017242,11.0956799,Rimorchiata CP 2 della ferrovia Trento-Malè,attraction,railway_car,,,,,
46.1018144,11.0957315,Elettrotreno della ferrovia Trento-Malè,attraction,locomotive,,,,,
45.6264829,11.7035100,Locomotiva 880.002,attraction,locomotive,,,,,
45.8413098,11.9700186,Locomotiva 740.439,attraction,locomotive,,,,,
45.8189523,10.9403917,Casa nel bosco,attraction,,,,,,
45.8169011,10.9452879,Casa del Bersaglio,attraction,,,,,,
45.5473296,11.5468628,Torre Bisara,attraction,,,,,,
46.4528385,11.4627350,Sternwarte & Teleskop Max Valier - Osservatorio Max Valier,attraction,,,,,,
45.6497725,11.3007943,Elettromotrice FTV 01,attraction,locomotive,,,,,
45.8526738,11.3289022,Spada nella Roccia,attraction,,,,,,
46.0516399,10.8455932,Ponte Pià,attraction,,,,,,
46.1067761,11.3007899,Ponte del Diaol,attraction,,,,,,
46.0277599,11.7728751,Aquila,attraction,,,,,,
45.9351503,10.9067375,Cave Alte,attraction,,,,,cave_entrance,
45.8553016,11.5681931,,attraction,,,,,,
46.1571374,11.7943935,Ponte di funi,attraction,,,,,,
45.6088078,11.9808532,Presepe del Palù,attraction,,,,,,
45.5440776,11.4065823,Le Spurghe,attraction,,,,,,
45.6314250,11.4563375,Elettromotrice tranviaria FTV,attraction,locomotive,,,,,
45.8899968,11.0454990,Il presepe meccanico degli scout,attraction,,,,,,
